Ticker,Operacao,Nr Cotas,Data da Operacao,Preco Unitario,Preco Total,Taxa da B3,Taxa da CBLC,Outras Despesas,Preco Final,Subscricao
BBPO11,COMPRA,10,02/12/2019,"157,79","1.577,90","0,07","0,43",,"1.578,40",
HGCR11,COMPRA,10,02/12/2019,"117,77","1.177,70","0,05","0,32",,"1.178,07",
HGBS11,COMPRA,10,02/12/2019,"284,34","2.843,40","0,12","0,78",,"2.844,30",
HGLG11,COMPRA,10,02/12/2019,"180,69","1.806,90","0,08","0,50",,"1.807,47",
HGRE11,COMPRA,10,02/12/2019,"167,90","1.679,00","0,07","0,46",,"1.679,53",
LVBI11,COMPRA,10,02/12/2019,"120,99","1.209,90","0,05","0,33",,"1.210,28",
SAAG11,COMPRA,10,02/12/2019,"130,38","1.303,80","0,06","0,36",,"1.304,21",
SPTW11,COMPRA,30,02/12/2019,"99,68","2.990,40","0,13","0,82",,"2.991,35",
SPTW11,COMPRA,10,02/12/2019,"98,20","982,00","0,04","0,27",,"982,31",
SPTW11,COMPRA,16,02/12/2019,"98,00","1.568,00","0,07","0,43",,"1.568,50",
XPML11,COMPRA,10,02/12/2019,"123,38","1.233,80","0,05","0,34",,"1.234,19",
BBPO11,COMPRA,5,03/12/2019,"157,99","789,95","0,03","0,22",,"790,20",
HFOF11,COMPRA,10,02/12/2019,"108,70","1.087,00","0,05","0,30",,"1.087,35",
HGBS11,COMPRA,5,03/12/2019,"285,39","1.426,95","0,05","0,39",,"1.427,39",
HFOF11,COMPRA,5,03/12/2019,"107,85","539,25","0,02","0,15",,"539,42",
SAAG11,COMPRA,5,03/12/2019,"131,00","655,00","0,02","0,18",,"655,20",
IRDM11,COMPRA,10,04/12/2019,"124,70","1.247,00","0,04","0,34",,"1.247,38",
MGFF11,COMPRA,15,09/12/2019,"109,55","1.643,25","0,06","0,45",,"1.643,76",
